 x  	 F(x)  
0	0.0115125
0.002	0.0115506
0.004	0.0118197
0.006	0.0126489
0.008	0.0135157
0.01	0.0144215
0.012	0.0153674
0.014	0.0163548
0.016	0.0173851
0.018	0.0184594
0.02	0.019579
0.022	0.0207452
0.024	0.0219592
0.026	0.0232221
0.028	0.0245351
0.03	0.0258991
0.032	0.0273151
0.034	0.0287842
0.036	0.030307
0.038	0.0318843
0.04	0.0335167
0.042	0.0352047
0.044	0.0369487
0.046	0.0387487
0.048	0.0406051
0.05	0.0425175
0.052	0.0444858
0.054	0.0465094
0.056	0.0485879
0.058	0.0507202
0.06	0.0529055
0.062	0.0551423
0.064	0.0574294
0.066	0.059765
0.068	0.0621471
0.07	0.0645738
0.072	0.0670428
0.074	0.0695514
0.076	0.072097
0.078	0.0746768
0.08	0.0772875
0.082	0.079926
0.084	0.0825889
0.086	0.0852726
0.088	0.0879736
0.09	0.090688
0.092	0.093412
0.094	0.0961418
0.096	0.0988735
0.098	0.101603
0.1	0.104327
0.102	0.10704
0.104	0.10974
0.106	0.112423
0.108	0.115084
0.11	0.117721
0.112	0.120329
0.114	0.122906
0.116	0.125449
0.118	0.127955
0.12	0.13042
0.122	0.132843
0.124	0.13522
0.126	0.137551
0.128	0.139832
0.13	0.142063
0.132	0.144242
0.134	0.146367
0.136	0.148438
0.138	0.150454
0.14	0.152413
0.142	0.154317
0.144	0.156163
0.146	0.157953
0.148	0.159685
0.15	0.161362
0.152	0.162982
0.154	0.164546
0.156	0.166055
0.158	0.16751
0.16	0.168912
0.162	0.17026
0.164	0.171557
0.166	0.172804
0.168	0.174001
0.17	0.17515
0.172	0.176251
0.174	0.177307
0.176	0.178318
0.178	0.179286
0.18	0.180213
0.182	0.181098
0.184	0.181944
0.186	0.182784
0.188	0.183665
0.19	0.184588
0.192	0.185554
0.194	0.186566
0.196	0.187625
0.198	0.188732
0.2	0.189888
0.202	0.191095
0.204	0.192353
0.206	0.193666
0.208	0.195032
0.21	0.196455
0.212	0.197934
0.214	0.199471
0.216	0.201066
0.218	0.20272
0.22	0.204434
0.222	0.206208
0.224	0.208043
0.226	0.209938
0.228	0.211894
0.23	0.21391
0.232	0.215985
0.234	0.218121
0.236	0.220314
0.238	0.222564
0.24	0.224871
0.242	0.227232
0.244	0.229645
0.246	0.232109
0.248	0.234621
0.25	0.237178
0.252	0.239779
0.254	0.242419
0.256	0.245097
0.258	0.247808
0.26	0.250549
0.262	0.253316
0.264	0.256106
0.266	0.258914
0.268	0.261736
0.27	0.264569
0.272	0.267408
0.274	0.270248
0.276	0.273087
0.278	0.275918
0.28	0.278738
0.282	0.281544
0.284	0.28433
0.286	0.287094
0.288	0.289831
0.29	0.292537
0.292	0.29521
0.294	0.297846
0.296	0.300442
0.298	0.302994
0.3	0.305502
0.302	0.307961
0.304	0.31037
0.306	0.312727
0.308	0.31503
0.31	0.317278
0.312	0.31947
0.314	0.321604
0.316	0.32368
0.318	0.325697
0.32	0.327655
0.322	0.329554
0.324	0.331393
0.326	0.333173
0.328	0.334894
0.33	0.336557
0.332	0.338162
0.334	0.33971
0.336	0.341202
0.338	0.342638
0.34	0.34402
0.342	0.34535
0.344	0.346627
0.346	0.347854
0.348	0.349031
0.35	0.35016
0.352	0.351242
0.354	0.352279
0.356	0.353272
0.358	0.354223
0.36	0.355132
0.362	0.356002
0.364	0.356833
0.366	0.357638
0.368	0.358471
0.37	0.359341
0.372	0.36025
0.374	0.361197
0.376	0.362185
0.378	0.363214
0.38	0.364286
0.382	0.365403
0.384	0.366564
0.386	0.367772
0.388	0.369027
0.39	0.370331
0.392	0.371684
0.394	0.373087
0.396	0.374541
0.398	0.376046
0.4	0.377604
0.402	0.379215
0.404	0.380878
0.406	0.382595
0.408	0.384365
0.41	0.386188
0.412	0.388065
0.414	0.389993
0.416	0.391974
0.418	0.394006
0.42	0.396089
0.422	0.39822
0.424	0.400399
0.426	0.402625
0.428	0.404894
0.43	0.407206
0.432	0.409559
0.434	0.411949
0.436	0.414375
0.438	0.416833
0.44	0.41932
0.442	0.421835
0.444	0.424373
0.446	0.426931
0.448	0.429505
0.45	0.432093
0.452	0.43469
0.454	0.437293
0.456	0.439898
0.458	0.442502
0.46	0.4451
0.462	0.447689
0.464	0.450266
0.466	0.452827
0.468	0.455368
0.47	0.457886
0.472	0.460378
0.474	0.462841
0.476	0.465271
0.478	0.467667
0.48	0.470025
0.482	0.472343
0.484	0.474618
0.486	0.47685
0.488	0.479036
0.49	0.481174
0.492	0.483263
0.494	0.485302
0.496	0.48729
0.498	0.489225
0.5	0.491108
0.502	0.492938
0.504	0.494715
0.506	0.496438
0.508	0.498108
0.51	0.499724
0.512	0.501288
0.514	0.502799
0.516	0.504258
0.518	0.505666
0.52	0.507024
0.522	0.508332
0.524	0.509592
0.526	0.510803
0.528	0.511969
0.53	0.513088
0.532	0.514163
0.534	0.515195
0.536	0.516186
0.538	0.517135
0.54	0.518044
0.542	0.518916
0.544	0.51975
0.546	0.520468
0.548	0.521159
0.55	0.521883
0.552	0.522641
0.554	0.523433
0.556	0.524261
0.558	0.525126
0.56	0.526029
0.562	0.526971
0.564	0.527954
0.566	0.528979
0.568	0.530046
0.57	0.531157
0.572	0.532312
0.574	0.533513
0.576	0.53476
0.578	0.536054
0.58	0.537397
0.582	0.538787
0.584	0.540226
0.586	0.541715
0.588	0.543253
0.59	0.544841
0.592	0.546478
0.594	0.548164
0.596	0.5499
0.598	0.551683
0.6	0.553515
0.602	0.555393
0.604	0.557317
0.606	0.559285
0.608	0.561297
0.61	0.563349
0.612	0.565442
0.614	0.567571
0.616	0.569736
0.618	0.571933
0.62	0.574161
0.622	0.576416
0.624	0.578695
0.626	0.580996
0.628	0.583315
0.63	0.58565
0.632	0.587996
0.634	0.59035
0.636	0.592709
0.638	0.59507
0.64	0.597428
0.642	0.599781
0.644	0.602125
0.646	0.604456
0.648	0.606772
0.65	0.609068
0.652	0.611342
0.654	0.613592
0.656	0.615813
0.658	0.618004
0.66	0.620161
0.662	0.622283
0.664	0.624367
0.666	0.626412
0.668	0.628414
0.67	0.630374
0.672	0.632289
0.674	0.634159
0.676	0.635981
