 x  	 F(x)  
0	0.0115342
0.002	0.0115692
0.004	0.0119707
0.006	0.0127752
0.008	0.0136173
0.01	0.0144986
0.012	0.0154203
0.014	0.016384
0.016	0.0173909
0.018	0.0184424
0.02	0.0195399
0.022	0.0206847
0.024	0.0218781
0.026	0.0231213
0.028	0.0244157
0.03	0.0257622
0.032	0.0271622
0.034	0.0286164
0.036	0.0301259
0.038	0.0316915
0.04	0.0333139
0.042	0.0349936
0.044	0.0367312
0.046	0.0385269
0.048	0.0403808
0.05	0.042293
0.052	0.0442632
0.054	0.046291
0.056	0.0483758
0.058	0.0505168
0.06	0.0527129
0.062	0.054963
0.064	0.0572654
0.066	0.0596185
0.068	0.0620204
0.07	0.0644688
0.072	0.0669613
0.074	0.0694953
0.076	0.0720679
0.078	0.0746762
0.08	0.0773168
0.082	0.0799862
0.084	0.082681
0.086	0.0853973
0.088	0.0881313
0.09	0.0908789
0.092	0.0936363
0.094	0.0963991
0.096	0.0991633
0.098	0.101925
0.1	0.104679
0.102	0.107423
0.104	0.110151
0.106	0.11286
0.108	0.115547
0.11	0.118206
0.112	0.120836
0.114	0.123432
0.116	0.125991
0.118	0.12851
0.12	0.130987
0.122	0.133418
0.124	0.135802
0.126	0.138136
0.128	0.140418
0.13	0.142648
0.132	0.144822
0.134	0.14694
0.136	0.149002
0.138	0.151006
0.14	0.152951
0.142	0.154838
0.144	0.156666
0.146	0.158436
0.148	0.160147
0.15	0.161799
0.152	0.163394
0.154	0.164932
0.156	0.166413
0.158	0.167839
0.16	0.169211
0.162	0.170528
0.164	0.171794
0.166	0.173008
0.168	0.174173
0.17	0.175288
0.172	0.176357
0.174	0.177379
0.176	0.178357
0.178	0.179291
0.18	0.180184
0.182	0.181036
0.184	0.181849
0.186	0.182659
0.188	0.183509
0.19	0.184402
0.192	0.185339
0.194	0.186321
0.196	0.18735
0.198	0.188427
0.2	0.189554
0.202	0.190733
0.204	0.191965
0.206	0.193251
0.208	0.194592
0.21	0.19599
0.212	0.197446
0.214	0.198961
0.216	0.200536
0.218	0.202172
0.22	0.20387
0.222	0.20563
0.224	0.207452
0.226	0.209337
0.228	0.211286
0.23	0.213297
0.232	0.21537
0.234	0.217506
0.236	0.219703
0.238	0.221959
0.24	0.224275
0.242	0.226648
0.244	0.229076
0.246	0.231557
0.248	0.23409
0.25	0.236671
0.252	0.239298
0.254	0.241968
0.256	0.244677
0.258	0.247422
0.26	0.250198
0.262	0.253004
0.264	0.255833
0.266	0.258682
0.268	0.261547
0.27	0.264423
0.272	0.267306
0.274	0.27019
0.276	0.273073
0.278	0.275949
0.28	0.278814
0.282	0.281662
0.284	0.284491
0.286	0.287296
0.288	0.290073
0.29	0.292818
0.292	0.295527
0.294	0.298197
0.296	0.300824
0.298	0.303407
0.3	0.305941
0.302	0.308425
0.304	0.310856
0.306	0.313232
0.308	0.315552
0.31	0.317814
0.312	0.320017
0.314	0.322159
0.316	0.324241
0.318	0.326261
0.32	0.328219
0.322	0.330116
0.324	0.331951
0.326	0.333724
0.328	0.335436
0.33	0.337088
0.332	0.33868
0.334	0.340214
0.336	0.341689
