 x  	 F(x)  
0	0.0134555
0.002	0.0142473
0.004	0.0150719
0.006	0.0159305
0.008	0.0168239
0.01	0.0177532
0.012	0.0187193
0.014	0.0197232
0.016	0.0207658
0.018	0.0218481
0.02	0.0229707
0.022	0.0241347
0.024	0.0253408
0.026	0.0265897
0.028	0.0278821
0.03	0.0292185
0.032	0.0305996
0.034	0.0320258
0.036	0.0334974
0.038	0.0350148
0.04	0.0365781
0.042	0.0381874
0.044	0.0398427
0.046	0.0415438
0.048	0.0432905
0.05	0.0450823
0.052	0.0469188
0.054	0.0487991
0.056	0.0507226
0.058	0.0526883
0.06	0.054695
0.062	0.0567416
0.064	0.0588266
0.066	0.0609486
0.068	0.0631058
0.07	0.0652964
0.072	0.0675186
0.074	0.0697702
0.076	0.0720491
0.078	0.0743531
0.08	0.0766797
0.082	0.0790265
0.084	0.081391
0.086	0.0837706
0.088	0.0861626
0.09	0.0885645
0.092	0.0909735
0.094	0.0933869
0.096	0.095802
0.098	0.0982163
0.1	0.100627
0.102	0.103032
0.104	0.105428
0.106	0.107814
0.108	0.110186
0.11	0.112543
0.112	0.114882
0.114	0.117202
0.116	0.119501
0.118	0.121777
0.12	0.124029
0.122	0.126255
0.124	0.128455
0.126	0.130626
0.128	0.132769
0.13	0.134883
0.132	0.136966
0.134	0.13902
0.136	0.141043
0.138	0.143035
0.14	0.144998
0.142	0.14693
0.144	0.148833
0.146	0.150706
0.148	0.152551
0.15	0.154369
0.152	0.15616
0.154	0.157926
0.156	0.159667
0.158	0.161386
0.16	0.163082
0.162	0.164758
0.164	0.166416
0.166	0.168056
0.168	0.16968
0.17	0.171291
0.172	0.172889
0.174	0.174477
0.176	0.176056
0.178	0.177629
0.18	0.179196
0.182	0.180761
0.184	0.182324
0.186	0.183888
0.188	0.185454
0.19	0.187025
0.192	0.188602
0.194	0.190187
0.196	0.191782
0.198	0.193388
0.2	0.195007
0.202	0.196641
0.204	0.198292
0.206	0.19996
0.208	0.201647
0.21	0.203355
0.212	0.205085
0.214	0.206838
0.216	0.208615
0.218	0.210417
0.22	0.212245
0.222	0.214099
0.224	0.215981
0.226	0.21789
0.228	0.219828
0.23	0.221794
0.232	0.223788
0.234	0.22581
0.236	0.227861
0.238	0.229939
0.24	0.232044
0.242	0.234176
0.244	0.236334
0.246	0.238516
0.248	0.240722
0.25	0.242951
0.252	0.245201
0.254	0.24747
0.256	0.249757
0.258	0.252061
0.26	0.254379
0.262	0.256709
0.264	0.259051
0.266	0.2614
0.268	0.263756
0.27	0.266116
0.272	0.268478
0.274	0.27084
0.276	0.2732
0.278	0.275555
0.28	0.277903
0.282	0.280242
0.284	0.28257
0.286	0.284884
0.288	0.287184
0.29	0.289467
0.292	0.291731
0.294	0.293974
0.296	0.296196
0.298	0.298394
0.3	0.300568
0.302	0.302715
0.304	0.304836
0.306	0.306929
0.308	0.308993
0.31	0.311028
0.312	0.313034
0.314	0.315009
0.316	0.316955
0.318	0.31887
0.32	0.320755
0.322	0.322611
0.324	0.324437
0.326	0.326235
0.328	0.328004
0.33	0.329746
0.332	0.331461
0.334	0.33315
0.336	0.334815
0.338	0.336457
0.34	0.338077
0.342	0.339675
0.344	0.341254
0.346	0.342816
0.348	0.34436
0.35	0.34589
0.352	0.347407
0.354	0.348912
0.356	0.350406
0.358	0.351893
0.36	0.353373
0.362	0.354849
0.364	0.356321
0.366	0.357792
0.368	0.359263
0.37	0.360737
0.372	0.362215
0.374	0.363698
0.376	0.365188
0.378	0.366687
0.38	0.368197
0.382	0.369719
0.384	0.371254
0.386	0.372805
0.388	0.374371
0.39	0.375955
0.392	0.377558
0.394	0.379181
0.396	0.380825
0.398	0.382491
0.4	0.384179
0.402	0.385891
0.404	0.387628
0.406	0.389388
0.408	0.391174
0.41	0.392985
0.412	0.394821
0.414	0.396683
0.416	0.39857
0.418	0.400483
0.42	0.402419
0.422	0.40438
0.424	0.406364
0.426	0.408371
0.428	0.4104
0.43	0.412449
0.432	0.414518
0.434	0.416605
0.436	0.418708
0.438	0.420827
0.44	0.42296
0.442	0.425104
0.444	0.427259
0.446	0.429422
0.448	0.431592
0.45	0.433766
0.452	0.435943
0.454	0.43812
0.456	0.440296
0.458	0.442468
0.46	0.444635
0.462	0.446795
0.464	0.448946
0.466	0.451086
0.468	0.453212
0.47	0.455325
0.472	0.457421
0.474	0.459499
0.476	0.461558
0.478	0.463597
0.48	0.465614
0.482	0.467608
0.484	0.469579
0.486	0.471524
0.488	0.473445
0.49	0.475339
0.492	0.477207
0.494	0.479049
0.496	0.480863
0.498	0.48265
0.5	0.48441
0.502	0.486143
0.504	0.48785
0.506	0.48953
0.508	0.491185
0.51	0.492815
0.512	0.49442
0.514	0.496002
0.516	0.497561
0.518	0.499099
0.52	0.500615
0.522	0.502113
0.524	0.503592
0.526	0.505054
0.528	0.506501
0.53	0.507933
0.532	0.509352
0.534	0.51076
0.536	0.512158
0.538	0.513548
0.54	0.51493
0.542	0.516308
0.544	0.517681
0.546	0.519052
0.548	0.520422
0.55	0.521794
0.552	0.523167
0.554	0.524545
0.556	0.525928
0.558	0.527317
0.56	0.528715
0.562	0.530123
0.564	0.531542
0.566	0.532973
0.568	0.534417
0.57	0.535876
0.572	0.537351
0.574	0.538843
0.576	0.540352
0.578	0.541881
0.58	0.543428
0.582	0.544996
0.584	0.546584
0.586	0.548194
0.588	0.549825
0.59	0.551477
0.592	0.553152
0.594	0.554849
0.596	0.556567
0.598	0.558307
0.6	0.560068
0.602	0.561851
0.604	0.563653
0.606	0.565475
0.608	0.567315
0.61	0.569173
0.612	0.571048
0.614	0.572938
0.616	0.574843
0.618	0.57676
0.62	0.578689
