 x 	V[Y|X = x] 
0	0.0172836
0.002	0.0174028
0.004	0.0175257
0.006	0.0176522
0.008	0.0177823
0.01	0.017916
0.012	0.0180532
0.014	0.0181938
0.016	0.0183378
0.018	0.018485
0.02	0.0186353
0.022	0.0187885
0.024	0.0189446
0.026	0.0191032
0.028	0.0192641
0.03	0.0194272
0.032	0.019592
0.034	0.0197585
0.036	0.0199261
0.038	0.0200946
0.04	0.0202635
0.042	0.0204326
0.044	0.0206013
0.046	0.0207693
0.048	0.0209361
0.05	0.0211011
0.052	0.021264
0.054	0.0214241
0.056	0.0215811
0.058	0.0217343
0.06	0.0218832
0.062	0.0220273
0.064	0.0221662
0.066	0.0222992
0.068	0.0224259
0.07	0.0225458
0.072	0.0226584
0.074	0.0227633
0.076	0.0228601
0.078	0.0229485
0.08	0.023028
0.082	0.0230985
0.084	0.0231596
0.086	0.0232112
0.088	0.0232531
0.09	0.0232853
0.092	0.0233077
0.094	0.0233203
0.096	0.0233231
0.098	0.0233164
0.1	0.0233002
0.102	0.0232749
0.104	0.0232407
0.106	0.0231979
0.108	0.0231469
0.11	0.0230881
0.112	0.023022
0.114	0.0229491
0.116	0.0228698
0.118	0.0227847
0.12	0.0226945
0.122	0.0225996
0.124	0.0225006
0.126	0.0223983
0.128	0.0222931
0.13	0.0221856
0.132	0.0220766
0.134	0.0219665
0.136	0.021856
0.138	0.0217457
0.14	0.021636
0.142	0.0215276
0.144	0.0214209
0.146	0.0213165
0.148	0.0212148
0.15	0.0211162
0.152	0.0210213
0.154	0.0209303
0.156	0.0208438
0.158	0.0207619
0.16	0.020685
0.162	0.0206135
0.164	0.0205475
0.166	0.0204873
0.168	0.0204331
0.17	0.0203851
0.172	0.0203435
0.174	0.0203083
0.176	0.0202797
0.178	0.0202577
0.18	0.0202425
0.182	0.020234
0.184	0.0202322
0.186	0.0202372
0.188	0.0202488
0.19	0.0202671
0.192	0.0202918
0.194	0.0203231
0.196	0.0203605
0.198	0.0204042
0.2	0.0204537
0.202	0.020509
0.204	0.0205698
0.206	0.0206359
0.208	0.0207069
0.21	0.0207826
0.212	0.0208627
0.214	0.0209468
0.216	0.0210345
0.218	0.0211255
0.22	0.0212193
0.222	0.0213156
0.224	0.0214138
0.226	0.0215135
0.228	0.0216143
0.23	0.0217156
0.232	0.0218169
0.234	0.0219177
0.236	0.0220175
0.238	0.0221158
0.24	0.022212
0.242	0.0223057
0.244	0.0223962
0.246	0.0224831
0.248	0.0225659
0.25	0.0226441
0.252	0.0227173
0.254	0.022785
0.256	0.0228468
0.258	0.0229023
0.26	0.0229512
0.262	0.0229932
0.264	0.0230281
0.266	0.0230555
0.268	0.0230753
0.27	0.0230874
0.272	0.0230916
0.274	0.023088
0.276	0.0230766
0.278	0.0230574
0.28	0.0230305
0.282	0.0229961
0.284	0.0229543
0.286	0.0229055
0.288	0.0228498
0.29	0.0227876
0.292	0.0227192
0.294	0.0226451
0.296	0.0225657
0.298	0.0224813
0.3	0.0223924
0.302	0.0222996
0.304	0.0222032
0.306	0.0221039
0.308	0.022002
0.31	0.0218982
0.312	0.0217929
0.314	0.0216866
0.316	0.0215799
0.318	0.0214731
0.32	0.0213669
0.322	0.0212616
0.324	0.0211577
0.326	0.0210556
0.328	0.0209558
0.33	0.0208587
0.332	0.0207645
0.334	0.0206737
0.336	0.0205866
0.338	0.0205035
0.34	0.0204247
0.342	0.0203504
0.344	0.0202809
0.346	0.0202163
0.348	0.020157
0.35	0.0201029
0.352	0.0200544
0.354	0.0200115
0.356	0.0199742
0.358	0.0199428
0.36	0.0199172
0.362	0.0198975
0.364	0.0198836
0.366	0.0198757
0.368	0.0198736
0.37	0.0198773
0.372	0.0198868
0.374	0.0199019
0.376	0.0199225
0.378	0.0199486
0.38	0.0199799
0.382	0.0200163
0.384	0.0200577
0.386	0.0201037
0.388	0.0201542
0.39	0.0202089
0.392	0.0202675
0.394	0.0203298
0.396	0.0203954
0.398	0.020464
0.4	0.0205354
0.402	0.020609
0.404	0.0206845
0.406	0.0207616
0.408	0.0208397
0.41	0.0209186
0.412	0.0209978
0.414	0.0210768
0.416	0.0211552
0.418	0.0212325
0.42	0.0213083
