 x 	V[Y|X = x] 
0.642	0.020276
0.644	0.0202425
0.646	0.020204
0.648	0.0201607
0.65	0.0201127
0.652	0.0200604
0.654	0.0200038
0.656	0.0199434
0.658	0.0198794
0.66	0.0198121
0.662	0.0197418
0.664	0.0196688
0.666	0.0195936
0.668	0.0195164
0.67	0.0194375
0.672	0.0193574
0.674	0.0192763
0.676	0.0191946
0.678	0.0191127
0.68	0.0190308
0.682	0.0189494
0.684	0.0188686
0.686	0.0187888
0.688	0.0187103
0.69	0.0186334
0.692	0.0185583
0.694	0.0184852
0.696	0.0184144
0.698	0.0183461
0.7	0.0182805
0.702	0.0182178
0.704	0.0181581
0.706	0.0181016
0.708	0.0180485
0.71	0.0179988
0.712	0.0179527
0.714	0.0179103
0.716	0.0178715
0.718	0.0178366
0.72	0.0178056
0.722	0.0177784
0.724	0.0177551
0.726	0.0177358
0.728	0.0177204
0.73	0.0177089
0.732	0.0177012
0.734	0.0176974
0.736	0.0176974
0.738	0.0177011
0.74	0.0177084
0.742	0.0177193
0.744	0.0177336
0.746	0.0177512
0.748	0.0177721
0.75	0.0177959
0.752	0.0178227
0.754	0.0178522
0.756	0.0178842
0.758	0.0179186
0.76	0.0179551
0.762	0.0179935
0.764	0.0180336
0.766	0.0180751
0.768	0.0181179
0.77	0.0181615
0.772	0.0182059
0.774	0.0182506
0.776	0.0182954
0.778	0.01834
0.78	0.0183842
0.782	0.0184275
0.784	0.0184698
0.786	0.0185108
0.788	0.0185501
0.79	0.0185874
0.792	0.0186226
0.794	0.0186553
0.796	0.0186852
0.798	0.0187122
0.8	0.0187361
0.802	0.0187565
0.804	0.0187733
0.806	0.0187865
0.808	0.0187957
0.81	0.018801
0.812	0.0188021
0.814	0.0187991
0.816	0.018792
0.818	0.0187806
0.82	0.018765
0.822	0.0187453
0.824	0.0187215
0.826	0.0186937
0.828	0.0186621
0.83	0.0186267
0.832	0.0185877
0.834	0.0185453
0.836	0.0184998
0.838	0.0184512
0.84	0.0183998
0.842	0.018346
0.844	0.0182898
0.846	0.0182316
0.848	0.0181717
0.85	0.0181102
0.852	0.0180475
0.854	0.0179838
0.856	0.0179194
0.858	0.0178545
0.86	0.0177894
0.862	0.0177244
0.864	0.0176596
0.866	0.0175954
0.868	0.0175318
0.87	0.0174692
0.872	0.0174077
0.874	0.0173476
0.876	0.0172889
0.878	0.0172319
0.88	0.0171768
0.882	0.0171235
0.884	0.0170724
0.886	0.0170234
0.888	0.0169767
0.89	0.0169325
0.892	0.0168907
0.894	0.0168514
0.896	0.0168147
0.898	0.0167807
0.9	0.0167494
0.902	0.0167208
0.904	0.0166949
0.906	0.0166717
0.908	0.0166513
0.91	0.0166337
0.912	0.0166187
0.914	0.0166065
0.916	0.0165969
0.918	0.0165899
0.92	0.0165854
0.922	0.0165835
0.924	0.016584
0.926	0.0165869
0.928	0.016592
0.93	0.0165993
0.932	0.0166087
0.934	0.0166201
0.936	0.0166333
0.938	0.0166483
0.94	0.0166649
0.942	0.0166829
0.944	0.0167023
0.946	0.0167229
0.948	0.0167444
0.95	0.0167668
0.952	0.0167899
0.954	0.0168135
0.956	0.0168375
0.958	0.0168616
0.96	0.0168856
0.962	0.0169094
0.964	0.0169329
0.966	0.0169557
0.968	0.0169777
0.97	0.0169988
0.972	0.0170188
0.974	0.0170375
0.976	0.0170546
0.978	0.0170702
0.98	0.0170839
0.982	0.0170958
0.984	0.0171056
0.986	0.0171132
0.988	0.0171186
0.99	0.0171216
0.992	0.0171221
0.994	0.0171202
0.996	0.0171158
0.998	0.0171087
1	0.0170991
1.002	0.017087
1.004	0.0170723
1.006	0.0170551
1.008	0.0170354
1.01	0.0170133
1.012	0.016989
1.014	0.0169624
1.016	0.0169337
1.018	0.016903
1.02	0.0168704
1.022	0.0168362
1.024	0.0168003
1.026	0.0167629
1.028	0.0167243
1.03	0.0166845
1.032	0.0166437
1.034	0.0166021
1.036	0.0165599
1.038	0.0165171
1.04	0.016474
1.042	0.0164306
1.044	0.0163873
1.046	0.016344
1.048	0.0163009
1.05	0.0162582
1.052	0.0162159
1.054	0.0161743
1.056	0.0161334
1.058	0.0160933
1.06	0.0160542
1.062	0.016016
1.064	0.015979
1.066	0.0159431
1.068	0.0159085
1.07	0.0158753
1.072	0.0158433
1.074	0.0158129
1.076	0.0157838
1.078	0.0157563
1.08	0.0157303
1.082	0.0157059
1.084	0.0156831
1.086	0.0156618
1.088	0.0156422
1.09	0.0156242
1.092	0.0156077
1.094	0.0155929
1.096	0.0155797
1.098	0.015568
1.1	0.0155579
1.102	0.0155492
1.104	0.0155421
1.106	0.0155365
1.108	0.0155322
1.11	0.0155294
1.112	0.0155278
1.114	0.0155276
1.116	0.0155285
1.118	0.0155306
1.12	0.0155338
1.122	0.0155381
1.124	0.0155432
1.126	0.0155493
1.128	0.0155561
1.13	0.0155637
1.132	0.0155718
1.134	0.0155805
1.136	0.0155897
1.138	0.0155991
1.14	0.0156088
1.142	0.0156187
1.144	0.0156286
1.146	0.0156384
1.148	0.0156481
1.15	0.0156574
1.152	0.0156665
1.154	0.015675
1.156	0.015683
1.158	0.0156904
1.16	0.015697
1.162	0.0157028
1.164	0.0157076
1.166	0.0157115
1.168	0.0157144
1.17	0.0157161
1.172	0.0157167
1.174	0.0157161
1.176	0.0157142
1.178	0.0157111
1.18	0.0157066
1.182	0.0157009
1.184	0.0156939
1.186	0.0156855
1.188	0.0156759
1.19	0.0156651
1.192	0.015653
1.194	0.0156397
1.196	0.0156253
1.198	0.0156098
1.2	0.0155933
1.202	0.0155758
1.204	0.0155574
1.206	0.0155382
1.208	0.0155182
1.21	0.0154975
1.212	0.0154763
1.214	0.0154545
1.216	0.0154323
1.218	0.0154097
1.22	0.0153868
1.222	0.0153638
1.224	0.0153406
1.226	0.0153173
1.228	0.0152941
1.23	0.0152709
1.232	0.0152479
1.234	0.0152251
1.236	0.0152026
1.238	0.0151803
1.24	0.0151585
1.242	0.0151371
1.244	0.0151161
1.246	0.0150956
1.248	0.0150757
1.25	0.0150563
1.252	0.0150375
1.254	0.0150193
1.256	0.0150018
1.258	0.0149849
1.26	0.0149687
1.262	0.0149531
1.264	0.0149383
1.266	0.0149241
1.268	0.0149107
1.27	0.0148979
1.272	0.0148858
1.274	0.0148744
1.276	0.0148637
1.278	0.0148537
1.28	0.0148443
1.282	0.0148356
1.284	0.0148276
1.286	0.0148202
1.288	0.0148133
1.29	0.0148071
1.292	0.0148015
1.294	0.0147964
1.296	0.0147918
1.298	0.0147878
1.3	0.0147843
1.302	0.0147812
1.304	0.0147785
1.306	0.0147763
1.308	0.0147744
1.31	0.0147729
1.312	0.0147717
1.314	0.0147708
1.316	0.0147701
1.318	0.0147697
1.32	0.0147695
1.322	0.0147694
1.324	0.0147695
1.326	0.0147697
1.328	0.0147699
1.33	0.0147702
1.332	0.0147704
1.334	0.0147706
1.336	0.0147707
1.338	0.0147708
1.34	0.0147707
1.342	0.0147705
1.344	0.01477
1.346	0.0147694
1.348	0.0147685
1.35	0.0147674
1.352	0.014766
1.354	0.0147643
1.356	0.0147623
1.358	0.01476
1.36	0.0147574
1.362	0.0147544
1.364	0.0147511
1.366	0.0147474
1.368	0.0147434
1.37	0.0147391
1.372	0.0147344
1.374	0.0147294
1.376	0.0147241
1.378	0.0147185
1.38	0.0147125
1.382	0.0147063
1.384	0.0146998
1.386	0.0146931
1.388	0.0146862
1.39	0.014679
1.392	0.0146717
1.394	0.0146641
1.396	0.0146565
1.398	0.0146487
1.4	0.0146408
1.402	0.0146328
1.404	0.0146248
1.406	0.0146167
1.408	0.0146086
1.41	0.0146005
1.412	0.0145924
1.414	0.0145844
1.416	0.0145764
1.418	0.0145684
1.42	0.0145606
1.422	0.0145528
1.424	0.0145452
1.426	0.0145377
1.428	0.0145303
1.43	0.014523
1.432	0.0145159
1.434	0.0145089
1.436	0.0145021
1.438	0.0144955
1.44	0.014489
1.442	0.0144827
1.444	0.0144766
1.446	0.0144707
1.448	0.0144649
1.45	0.0144593
1.452	0.0144539
1.454	0.0144487
1.456	0.0144437
1.458	0.0144389
1.46	0.0144342
1.462	0.0144297
1.464	0.0144254
1.466	0.0144212
1.468	0.0144172
1.47	0.0144134
1.472	0.0144098
1.474	0.0144063
1.476	0.014403
1.478	0.0143998
1.48	0.0143967
1.482	0.0143938
1.484	0.0143911
1.486	0.0143885
1.488	0.014386
1.49	0.0143836
1.492	0.0143814
1.494	0.0143792
1.496	0.0143772
1.498	0.0143753
1.5	0.0143736
1.502	0.0143719
1.504	0.0143703
1.506	0.0143688
1.508	0.0143674
1.51	0.0143661
1.512	0.0143649
1.514	0.0143638
1.516	0.0143627
1.518	0.0143617
1.52	0.0143608
1.522	0.01436
1.524	0.0143592
1.526	0.0143585
1.528	0.0143579
1.53	0.0143573
1.532	0.0143568
1.534	0.0143563
1.536	0.0143559
1.538	0.0143555
1.54	0.0143552
1.542	0.0143549
1.544	0.0143547
1.546	0.0143545
1.548	0.0143544
1.55	0.0143543
1.552	0.0143543
1.554	0.0143543
1.556	0.0143544
1.558	0.0143544
1.56	0.0143546
1.562	0.0143547
1.564	0.014355
1.566	0.0143552
1.568	0.0143555
1.57	0.0143559
1.572	0.0143562
1.574	0.0143567
1.576	0.0143572
1.578	0.0143577
1.58	0.0143582
1.582	0.0143589
1.584	0.0143595
1.586	0.0143602
1.588	0.014361
1.59	0.0143618
1.592	0.0143627
1.594	0.0143637
1.596	0.0143647
1.598	0.0143657
1.6	0.0143668
1.602	0.014368
1.604	0.0143693
1.606	0.0143706
1.608	0.014372
1.61	0.0143734
1.612	0.0143749
1.614	0.0143765
1.616	0.0143782
1.618	0.01438
1.62	0.0143818
1.622	0.0143837
1.624	0.0143857
1.626	0.0143878
1.628	0.01439
1.63	0.0143923
1.632	0.0143946
1.634	0.014397
1.636	0.0143996
1.638	0.0144022
1.64	0.0144049
1.642	0.0144076
1.644	0.0144105
1.646	0.0144135
1.648	0.0144165
1.65	0.0144196
1.652	0.0144228
1.654	0.0144261
1.656	0.0144295
1.658	0.0144329
1.66	0.0144364
1.662	0.0144399
1.664	0.0144435
1.666	0.0144472
1.668	0.0144508
1.67	0.0144546
1.672	0.0144583
1.674	0.0144621
1.676	0.0144659
1.678	0.0144697
1.68	0.0144734
1.682	0.0144772
1.684	0.0144809
1.686	0.0144846
1.688	0.0144882
1.69	0.0144918
1.692	0.0144953
1.694	0.0144987
1.696	0.014502
1.698	0.0145052
1.7	0.0145083
1.702	0.0145112
1.704	0.0145141
1.706	0.0145167
1.708	0.0145193
1.71	0.0145217
1.712	0.0145239
1.714	0.0145259
1.716	0.0145278
1.718	0.0145295
1.72	0.0145311
1.722	0.0145324
1.724	0.0145336
