 x  	 F(x)  
0	0.0350745
0.002	0.0361821
0.004	0.0373043
0.006	0.0384405
0.008	0.03959
0.01	0.0407523
0.012	0.0419266
0.014	0.0431123
0.016	0.0443088
0.018	0.0455153
0.02	0.0467314
0.022	0.0479563
0.024	0.0491895
0.026	0.0504304
0.028	0.0516785
0.03	0.0529333
0.032	0.0541944
0.034	0.0554612
0.036	0.0567334
0.038	0.0580107
0.04	0.0592927
0.042	0.0605792
0.044	0.0618698
0.046	0.0631646
0.048	0.0644632
0.05	0.0657657
0.052	0.067072
0.054	0.068382
0.056	0.069696
0.058	0.0710139
0.06	0.0723358
0.062	0.0736621
0.064	0.074993
0.066	0.0763286
0.068	0.0776695
0.07	0.0790158
0.072	0.0803682
0.074	0.0817268
0.076	0.0830924
0.078	0.0844654
0.08	0.0858463
0.082	0.0872357
0.084	0.0886343
0.086	0.0900427
0.088	0.0914615
0.09	0.0928914
0.092	0.0943331
0.094	0.0957873
0.096	0.0972548
0.098	0.0987362
0.1	0.100232
0.102	0.101744
0.104	0.103272
0.106	0.104816
0.108	0.106378
0.11	0.107959
0.112	0.109558
0.114	0.111177
0.116	0.112817
0.118	0.114477
0.12	0.116158
0.122	0.117861
0.124	0.119587
0.126	0.121335
0.128	0.123107
0.13	0.124901
0.132	0.12672
0.134	0.128562
0.136	0.130428
0.138	0.132318
0.14	0.134231
0.142	0.136168
0.144	0.138129
0.146	0.140112
0.148	0.142118
0.15	0.144146
0.152	0.146195
0.154	0.148265
0.156	0.150355
0.158	0.152464
0.16	0.154591
0.162	0.156735
0.164	0.158895
0.166	0.16107
0.168	0.163258
0.17	0.165457
0.172	0.167668
0.174	0.169887
0.176	0.172114
0.178	0.174347
0.18	0.176585
0.182	0.178825
0.184	0.181067
0.186	0.183308
0.188	0.185548
0.19	0.187785
0.192	0.190016
0.194	0.192241
0.196	0.194459
0.198	0.196667
0.2	0.198865
0.202	0.201051
0.204	0.203224
0.206	0.205383
0.208	0.207528
0.21	0.209656
0.212	0.211768
0.214	0.213863
0.216	0.215939
0.218	0.217997
0.22	0.220037
0.222	0.222057
0.224	0.224058
0.226	0.226039
0.228	0.228001
0.23	0.229944
0.232	0.231868
0.234	0.233772
0.236	0.235659
0.238	0.237527
0.24	0.239377
0.242	0.241211
0.244	0.243029
0.246	0.24483
0.248	0.246618
0.25	0.248391
0.252	0.250151
0.254	0.2519
0.256	0.253637
0.258	0.255364
0.26	0.257083
0.262	0.258793
0.264	0.260497
0.266	0.262196
0.268	0.26389
0.27	0.26558
0.272	0.267269
0.274	0.268956
0.276	0.270644
0.278	0.272334
0.28	0.274026
0.282	0.275722
0.284	0.277422
0.286	0.279129
0.288	0.280842
0.29	0.282564
0.292	0.284295
0.294	0.286036
0.296	0.287787
0.298	0.289551
0.3	0.291327
0.302	0.293117
0.304	0.294921
0.306	0.29674
0.308	0.298574
0.31	0.300424
0.312	0.30229
0.314	0.304172
0.316	0.306072
0.318	0.307988
0.32	0.309922
0.322	0.311872
0.324	0.313839
0.326	0.315823
0.328	0.317824
0.33	0.31984
0.332	0.321872
0.334	0.323918
0.336	0.325979
0.338	0.328053
0.34	0.33014
0.342	0.332238
0.344	0.334347
0.346	0.336465
0.348	0.338591
0.35	0.340724
0.352	0.342863
0.354	0.345007
0.356	0.347153
0.358	0.349301
0.36	0.351448
0.362	0.353595
0.364	0.355739
0.366	0.357878
0.368	0.360012
0.37	0.362139
0.372	0.364257
0.374	0.366366
0.376	0.368464
0.378	0.370549
0.38	0.372621
0.382	0.374678
0.384	0.37672
0.386	0.378746
0.388	0.380754
0.39	0.382744
0.392	0.384715
0.394	0.386667
0.396	0.388599
0.398	0.390511
0.4	0.392403
0.402	0.394274
0.404	0.396124
0.406	0.397953
0.408	0.399762
0.41	0.40155
0.412	0.403318
0.414	0.405066
0.416	0.406795
0.418	0.408504
0.42	0.410195
0.422	0.411869
0.424	0.413525
0.426	0.415165
0.428	0.416789
0.43	0.418399
0.432	0.419994
0.434	0.421577
0.436	0.423149
0.438	0.424709
0.44	0.42626
0.442	0.427801
0.444	0.429336
0.446	0.430863
0.448	0.432386
0.45	0.433904
0.452	0.435419
0.454	0.436932
0.456	0.438444
0.458	0.439957
0.46	0.441471
0.462	0.442987
0.464	0.444507
0.466	0.446032
0.468	0.447563
0.47	0.4491
0.472	0.450646
0.474	0.4522
0.476	0.453763
0.478	0.455338
0.48	0.456923
0.482	0.458521
0.484	0.460132
0.486	0.461756
0.488	0.463395
0.49	0.465048
0.492	0.466716
0.494	0.4684
0.496	0.4701
0.498	0.471816
0.5	0.473549
0.502	0.475297
0.504	0.477062
0.506	0.478844
0.508	0.480641
0.51	0.482454
0.512	0.484282
0.514	0.486126
0.516	0.487983
