 x  	 F(x)  
0	0.00430465
0.002	0.00570488
0.004	0.00710974
0.006	0.00851949
0.008	0.00993436
0.01	0.0113546
0.012	0.0127805
0.014	0.0142122
0.016	0.01565
0.018	0.0170942
0.02	0.018545
0.022	0.0200026
0.024	0.0214674
0.026	0.0229394
0.028	0.0244191
0.03	0.0259066
0.032	0.0274021
0.034	0.0289061
0.036	0.0304186
0.038	0.0319399
0.04	0.0334704
0.042	0.0350102
0.044	0.0365596
0.046	0.0381188
0.048	0.0396882
0.05	0.0412679
0.052	0.0428582
0.054	0.0444594
0.056	0.0460718
0.058	0.0476955
0.06	0.0493309
0.062	0.0509782
0.064	0.0526376
0.066	0.0543095
0.068	0.055994
0.07	0.0576914
0.072	0.059402
0.074	0.061126
0.076	0.0628637
0.078	0.0646153
0.08	0.066381
0.082	0.0681611
0.084	0.0699559
0.086	0.0717655
0.088	0.0735902
0.09	0.0754302
0.092	0.0772857
0.094	0.079157
0.096	0.0810442
0.098	0.0829476
0.1	0.0848673
0.102	0.0868035
0.104	0.0887565
0.106	0.0907263
0.108	0.0927132
0.11	0.0947173
0.112	0.0967387
0.114	0.0987776
0.116	0.100834
0.118	0.102908
0.12	0.105
0.122	0.10711
0.124	0.109237
0.126	0.111383
0.128	0.113546
0.13	0.115728
0.132	0.117927
0.134	0.120145
0.136	0.12238
0.138	0.124633
0.14	0.126904
0.142	0.129192
0.144	0.131498
0.146	0.133821
0.148	0.136162
0.15	0.138519
0.152	0.140892
0.154	0.143283
0.156	0.145689
0.158	0.148111
0.16	0.150548
0.162	0.153
0.164	0.155467
0.166	0.157948
0.168	0.160443
0.17	0.162951
0.172	0.165471
0.174	0.168003
0.176	0.170547
0.178	0.173102
0.18	0.175666
0.182	0.17824
0.184	0.180822
0.186	0.183413
0.188	0.18601
0.19	0.188614
0.192	0.191223
0.194	0.193837
0.196	0.196454
0.198	0.199074
0.2	0.201696
0.202	0.204318
0.204	0.20694
0.206	0.209561
0.208	0.21218
0.21	0.214795
0.212	0.217406
0.214	0.220012
0.216	0.222611
0.218	0.225203
0.22	0.227785
0.222	0.230359
0.224	0.232921
0.226	0.235472
0.228	0.238009
0.23	0.240533
0.232	0.243042
0.234	0.245535
0.236	0.248011
0.238	0.250469
0.24	0.252908
0.242	0.255328
0.244	0.257727
0.246	0.260104
0.248	0.26246
0.25	0.264792
0.252	0.2671
0.254	0.269384
0.256	0.271643
0.258	0.273876
0.26	0.276083
0.262	0.278264
0.264	0.280417
0.266	0.282543
0.268	0.28464
0.27	0.28671
0.272	0.288751
0.274	0.290763
0.276	0.292747
0.278	0.294702
0.28	0.296628
0.282	0.298525
0.284	0.300394
0.286	0.302234
0.288	0.304045
0.29	0.305829
0.292	0.307584
0.294	0.309312
0.296	0.311012
0.298	0.312686
0.3	0.314333
0.302	0.315955
0.304	0.317551
0.306	0.319122
0.308	0.320669
0.31	0.322193
0.312	0.323693
0.314	0.325172
0.316	0.326628
0.318	0.328064
0.32	0.32948
0.322	0.330877
0.324	0.332256
0.326	0.333616
0.328	0.33496
0.33	0.336288
0.332	0.337601
0.334	0.338899
0.336	0.340184
0.338	0.341457
0.34	0.342718
0.342	0.343968
0.344	0.345208
0.346	0.346439
0.348	0.347662
0.35	0.348878
0.352	0.350087
0.354	0.351291
0.356	0.352489
0.358	0.353684
0.36	0.354876
0.362	0.356066
0.364	0.357254
0.366	0.358442
0.368	0.359629
0.37	0.360818
0.372	0.362009
0.374	0.363201
0.376	0.364398
0.378	0.365598
0.38	0.366802
0.382	0.368013
0.384	0.369229
0.386	0.370452
0.388	0.371682
0.39	0.37292
0.392	0.374167
0.394	0.375424
0.396	0.37669
0.398	0.377966
0.4	0.379254
0.402	0.380553
0.404	0.381864
0.406	0.383188
0.408	0.384525
0.41	0.385876
0.412	0.38724
0.414	0.388619
0.416	0.390013
0.418	0.391423
0.42	0.392848
0.422	0.39429
0.424	0.395748
0.426	0.397223
0.428	0.398715
0.43	0.400225
0.432	0.401753
0.434	0.403298
0.436	0.404863
0.438	0.406446
0.44	0.408048
0.442	0.409669
0.444	0.41131
0.446	0.412971
0.448	0.414651
0.45	0.416351
0.452	0.418071
0.454	0.419812
0.456	0.421572
0.458	0.423354
0.46	0.425155
0.462	0.426978
0.464	0.42882
0.466	0.430684
0.468	0.432568
0.47	0.434472
0.472	0.436397
0.474	0.438343
0.476	0.440308
0.478	0.442294
0.48	0.4443
0.482	0.446326
0.484	0.448372
0.486	0.450437
0.488	0.452522
0.49	0.454625
0.492	0.456748
0.494	0.458889
0.496	0.461048
0.498	0.463225
0.5	0.465419
0.502	0.467631
0.504	0.469859
0.506	0.472103
0.508	0.474363
0.51	0.476638
0.512	0.478928
0.514	0.481232
0.516	0.48355
0.518	0.485881
0.52	0.488224
0.522	0.490579
0.524	0.492945
0.526	0.495321
0.528	0.497706
0.53	0.500101
0.532	0.502504
0.534	0.504914
0.536	0.50733
0.538	0.509752
0.54	0.512179
0.542	0.51461
0.544	0.517043
0.546	0.519479
0.548	0.521916
0.55	0.524353
0.552	0.52679
0.554	0.529224
0.556	0.531656
0.558	0.534084
0.56	0.536508
0.562	0.538926
0.564	0.541337
0.566	0.54374
0.568	0.546134
0.57	0.548519
0.572	0.550893
0.574	0.553255
0.576	0.555604
0.578	0.557939
0.58	0.56026
0.582	0.562564
0.584	0.564852
0.586	0.567122
0.588	0.569373
0.59	0.571605
0.592	0.573817
0.594	0.576007
0.596	0.578175
0.598	0.58032
0.6	0.582441
0.602	0.584538
0.604	0.586609
0.606	0.588655
0.608	0.590674
0.61	0.592666
0.612	0.59463
0.614	0.596567
0.616	0.598474
0.618	0.600353
0.62	0.602202
0.622	0.604021
0.624	0.60581
0.626	0.607568
0.628	0.609296
0.63	0.610993
0.632	0.612659
0.634	0.614295
0.636	0.615899
0.638	0.617473
0.64	0.619015
0.642	0.620527
0.644	0.622008
0.646	0.623459
0.648	0.62488
0.65	0.626271
0.652	0.627632
0.654	0.628964
0.656	0.630268
0.658	0.631543
0.66	0.632791
0.662	0.634011
0.664	0.635205
0.666	0.636373
0.668	0.637515
0.67	0.638633
0.672	0.639727
0.674	0.640797
0.676	0.641845
0.678	0.64287
0.68	0.643875
0.682	0.64486
0.684	0.645825
0.686	0.646771
0.688	0.6477
0.69	0.648612
0.692	0.649508
0.694	0.650389
0.696	0.651256
0.698	0.652109
0.7	0.65295
0.702	0.65378
0.704	0.654599
0.706	0.655408
0.708	0.656209
0.71	0.657001
0.712	0.657787
0.714	0.658567
0.716	0.659342
0.718	0.660112
0.72	0.660879
0.722	0.661644
0.724	0.662407
0.726	0.663169
0.728	0.663932
0.73	0.664695
0.732	0.66546
0.734	0.666228
0.736	0.666999
0.738	0.667774
0.74	0.668555
0.742	0.669341
0.744	0.670133
0.746	0.670933
0.748	0.67174
0.75	0.672556
0.752	0.673381
0.754	0.674216
0.756	0.675062
0.758	0.675919
0.76	0.676787
0.762	0.677668
0.764	0.678562
0.766	0.679469
0.768	0.68039
0.77	0.681326
0.772	0.682276
0.774	0.683242
0.776	0.684225
0.778	0.685223
0.78	0.686238
0.782	0.687271
0.784	0.688321
0.786	0.689389
0.788	0.690475
0.79	0.69158
0.792	0.692704
0.794	0.693847
0.796	0.695009
0.798	0.696192
0.8	0.697394
0.802	0.698616
0.804	0.699859
0.806	0.701123
0.808	0.702407
0.81	0.703712
0.812	0.705037
0.814	0.706384
0.816	0.707752
0.818	0.709141
0.82	0.710552
0.822	0.711983
0.824	0.713436
0.826	0.71491
0.828	0.716405
0.83	0.717921
0.832	0.719458
0.834	0.721016
0.836	0.722594
0.838	0.724193
0.84	0.725812
0.842	0.727452
0.844	0.729111
0.846	0.73079
0.848	0.732488
0.85	0.734206
0.852	0.735942
0.854	0.737696
0.856	0.739469
0.858	0.741259
0.86	0.743066
0.862	0.74489
0.864	0.74673
0.866	0.748586
0.868	0.750457
0.87	0.752343
0.872	0.754243
0.874	0.756156
0.876	0.758083
0.878	0.760021
0.88	0.761971
0.882	0.763932
0.884	0.765903
0.886	0.767884
0.888	0.769873
0.89	0.77187
0.892	0.773874
0.894	0.775884
0.896	0.777899
0.898	0.779919
0.9	0.781943
0.902	0.783969
0.904	0.785996
0.906	0.788024
0.908	0.790052
0.91	0.792079
0.912	0.794104
0.914	0.796125
0.916	0.798142
0.918	0.800153
0.92	0.802158
0.922	0.804156
0.924	0.806145
0.926	0.808124
0.928	0.810093
0.93	0.81205
0.932	0.813994
0.934	0.815924
0.936	0.817839
0.938	0.819738
0.94	0.821621
0.942	0.823484
0.944	0.825329
0.946	0.827154
0.948	0.828957
0.95	0.830738
0.952	0.832497
0.954	0.834231
0.956	0.83594
0.958	0.837623
0.96	0.83928
0.962	0.840909
0.964	0.84251
0.966	0.844082
0.968	0.845624
0.97	0.847135
0.972	0.848616
0.974	0.850065
0.976	0.851481
0.978	0.852866
0.98	0.854216
0.982	0.855534
0.984	0.856817
0.986	0.858066
0.988	0.859281
0.99	0.860461
0.992	0.861606
0.994	0.862716
0.996	0.863791
0.998	0.864831
1	0.865837
1.002	0.866807
1.004	0.867743
1.006	0.868644
1.008	0.869511
1.01	0.870344
1.012	0.871143
1.014	0.871909
1.016	0.872643
1.018	0.873344
1.02	0.874014
1.022	0.874653
1.024	0.875261
1.026	0.87584
1.028	0.876389
1.03	0.87691
1.032	0.877404
1.034	0.877871
1.036	0.878312
1.038	0.878728
1.04	0.87912
1.042	0.879488
1.044	0.879835
1.046	0.88016
1.048	0.880465
1.05	0.880751
1.052	0.881018
1.054	0.881268
1.056	0.881502
1.058	0.881721
1.06	0.881926
1.062	0.882118
1.064	0.882298
1.066	0.882467
1.068	0.882626
1.07	0.882776
1.072	0.882919
1.074	0.883055
1.076	0.883185
1.078	0.883311
1.08	0.883434
1.082	0.883554
1.084	0.883672
1.086	0.88379
1.088	0.883908
1.09	0.884028
1.092	0.88415
1.094	0.884275
1.096	0.884405
1.098	0.884539
1.1	0.88468
1.102	0.884827
1.104	0.884982
1.106	0.885146
1.108	0.885319
1.11	0.885501
1.112	0.885695
1.114	0.8859
1.116	0.886117
1.118	0.886347
1.12	0.88659
1.122	0.886847
1.124	0.887119
1.126	0.887407
1.128	0.88771
1.13	0.888029
1.132	0.888366
1.134	0.888719
1.136	0.889091
1.138	0.88948
1.14	0.889888
1.142	0.890315
1.144	0.890762
1.146	0.891228
1.148	0.891714
1.15	0.892221
