 x  	 F(x)  
0	0.0101043
0.002	0.0104844
0.004	0.0109289
0.006	0.011439
0.008	0.0120162
0.01	0.0126618
0.012	0.013377
0.014	0.0141631
0.016	0.0150212
0.018	0.0159524
0.02	0.0169575
0.022	0.0180376
0.024	0.0191934
0.026	0.0204255
0.028	0.0217344
0.03	0.0231206
0.032	0.0245844
0.034	0.0261257
0.036	0.0277446
0.038	0.0294408
0.04	0.0312139
0.042	0.0330633
0.044	0.034988
0.046	0.0369871
0.048	0.0390594
0.05	0.0412033
0.052	0.0434171
0.054	0.0456989
0.056	0.0480464
0.058	0.0504573
0.06	0.0529287
0.062	0.0554579
0.064	0.0580416
0.066	0.0606764
0.068	0.0633587
0.07	0.0660846
0.072	0.0688501
0.074	0.0716508
0.076	0.0744823
0.078	0.07734
0.08	0.0802192
0.082	0.0831148
0.084	0.0860219
0.086	0.0889355
0.088	0.0918503
0.09	0.0947611
0.092	0.0976629
0.094	0.10055
0.096	0.103418
0.098	0.106262
0.1	0.109076
0.102	0.111857
0.104	0.114599
0.106	0.117297
0.108	0.119949
0.11	0.122549
0.112	0.125095
0.114	0.127583
0.116	0.130009
0.118	0.132373
0.12	0.13467
0.122	0.136899
0.124	0.139058
0.126	0.141147
0.128	0.143165
0.13	0.145111
0.132	0.146984
0.134	0.148786
0.136	0.150518
0.138	0.152179
0.14	0.153772
0.142	0.155299
0.144	0.156762
0.146	0.158162
0.148	0.159504
0.15	0.160789
0.152	0.162021
0.154	0.163204
0.156	0.164342
0.158	0.165438
0.16	0.166496
0.162	0.167521
0.164	0.168518
0.166	0.16949
0.168	0.170441
0.17	0.171378
0.172	0.172305
0.174	0.173225
0.176	0.174144
0.178	0.175067
0.18	0.175998
0.182	0.176942
0.184	0.177902
0.186	0.178885
0.188	0.179893
0.19	0.180932
0.192	0.182004
0.194	0.183114
0.196	0.184266
0.198	0.185463
0.2	0.186709
0.202	0.188006
0.204	0.189357
0.206	0.190765
0.208	0.192233
0.21	0.193762
0.212	0.195355
0.214	0.197013
0.216	0.198737
0.218	0.200528
0.22	0.202388
0.222	0.204316
0.224	0.206313
0.226	0.208379
0.228	0.210513
0.23	0.212714
0.232	0.214982
0.234	0.217316
0.236	0.219713
0.238	0.222171
0.24	0.224689
0.242	0.227264
0.244	0.229893
0.246	0.232574
0.248	0.235302
0.25	0.238075
0.252	0.240889
0.254	0.24374
0.256	0.246623
0.258	0.249535
0.26	0.25247
0.262	0.255426
0.264	0.258396
0.266	0.261375
0.268	0.26436
0.27	0.267346
0.272	0.270326
0.274	0.273297
0.276	0.276254
0.278	0.279191
0.28	0.282105
0.282	0.28499
0.284	0.287841
0.286	0.290656
0.288	0.293429
0.29	0.296156
0.292	0.298834
0.294	0.30146
0.296	0.304029
0.298	0.306539
0.3	0.308988
0.302	0.311372
0.304	0.31369
0.306	0.31594
0.308	0.318121
0.31	0.320231
0.312	0.322269
0.314	0.324236
0.316	0.32613
0.318	0.327953
0.32	0.329705
0.322	0.331386
0.324	0.332998
0.326	0.334542
0.328	0.336021
0.33	0.337435
0.332	0.338789
0.334	0.340083
0.336	0.341321
0.338	0.342507
0.34	0.343643
0.342	0.344734
0.344	0.345782
0.346	0.346792
0.348	0.347768
0.35	0.348714
0.352	0.349634
0.354	0.350532
0.356	0.351414
0.358	0.352283
0.36	0.353144
0.362	0.354002
0.364	0.354862
0.366	0.355727
0.368	0.356602
0.37	0.357492
0.372	0.3584
0.374	0.359332
0.376	0.360292
0.378	0.361282
0.38	0.362308
0.382	0.363373
0.384	0.36448
0.386	0.365633
0.388	0.366834
0.39	0.368087
0.392	0.369395
0.394	0.370759
0.396	0.372182
0.398	0.373666
0.4	0.375212
0.402	0.376821
0.404	0.378496
0.406	0.380235
0.408	0.382041
0.41	0.383912
0.412	0.38585
0.414	0.387852
0.416	0.389919
0.418	0.392049
0.42	0.394241
0.422	0.396493
0.424	0.398803
0.426	0.40117
0.428	0.403589
0.43	0.406059
0.432	0.408577
0.434	0.411138
0.436	0.41374
0.438	0.416379
0.44	0.419051
0.442	0.421752
0.444	0.424477
0.446	0.427222
0.448	0.429983
0.45	0.432755
0.452	0.435534
0.454	0.438314
0.456	0.441091
0.458	0.443861
0.46	0.446619
0.462	0.44936
0.464	0.45208
0.466	0.454774
0.468	0.457438
0.47	0.460067
0.472	0.462659
0.474	0.465209
0.476	0.467714
0.478	0.47017
0.48	0.472573
0.482	0.474923
0.484	0.477214
0.486	0.479447
0.488	0.481617
0.49	0.483724
0.492	0.485767
0.494	0.487743
0.496	0.489653
0.498	0.491495
0.5	0.49327
0.502	0.494978
0.504	0.496619
0.506	0.498193
0.508	0.499703
0.51	0.501149
0.512	0.502533
0.514	0.503856
0.516	0.505121
0.518	0.506331
0.52	0.507487
0.522	0.508594
0.524	0.509653
0.526	0.510668
0.528	0.511643
0.53	0.512581
0.532	0.513485
0.534	0.514361
0.536	0.515211
0.538	0.51604
0.54	0.516852
0.542	0.517651
0.544	0.518441
0.546	0.519227
