 x  	 F(x)  
0	0.0101414
0.002	0.0105214
0.004	0.0109656
0.006	0.0114754
0.008	0.0120521
0.01	0.0126972
0.012	0.0134117
0.014	0.0141971
0.016	0.0150542
0.018	0.0159844
0.02	0.0169884
0.022	0.0180672
0.024	0.0192216
0.026	0.0204522
0.028	0.0217596
0.03	0.0231441
0.032	0.024606
0.034	0.0261455
0.036	0.0277624
0.038	0.0294564
0.04	0.0312273
0.042	0.0330744
0.044	0.0349967
0.046	0.0369934
0.048	0.0390632
0.05	0.0412045
0.052	0.0434157
0.054	0.0456949
0.056	0.0480397
0.058	0.0504479
0.06	0.0529167
0.062	0.0554432
0.064	0.0580243
0.066	0.0606565
0.068	0.0633362
0.07	0.0660596
0.072	0.0688226
0.074	0.071621
0.076	0.0744502
0.078	0.0773058
0.08	0.0801829
0.082	0.0830767
0.084	0.085982
0.086	0.088894
0.088	0.0918073
0.09	0.0947169
0.092	0.0976175
0.094	0.100504
0.096	0.103371
0.098	0.106215
0.1	0.109029
0.102	0.111809
0.104	0.114551
0.106	0.11725
0.108	0.119902
0.11	0.122503
0.112	0.125049
0.114	0.127538
0.116	0.129966
0.118	0.13233
0.12	0.134629
0.122	0.13686
0.124	0.139021
0.126	0.141112
0.128	0.143132
0.13	0.145079
0.132	0.146955
0.134	0.14876
0.136	0.150493
0.138	0.152157
0.14	0.153753
0.142	0.155282
0.144	0.156747
0.146	0.15815
0.148	0.159494
0.15	0.160782
0.152	0.162017
0.154	0.163202
0.156	0.164342
0.158	0.165441
0.16	0.166501
0.162	0.167529
0.164	0.168527
0.166	0.169501
0.168	0.170455
0.17	0.171394
0.172	0.172322
0.174	0.173244
0.176	0.174165
0.178	0.175089
0.18	0.176022
0.182	0.176967
0.184	0.177929
0.186	0.178912
0.188	0.179922
0.19	0.180961
0.192	0.182034
0.194	0.183145
0.196	0.184298
0.198	0.185495
0.2	0.186741
0.202	0.188038
0.204	0.18939
0.206	0.190798
0.208	0.192266
0.21	0.193795
0.212	0.195387
0.214	0.197044
0.216	0.198768
0.218	0.200558
0.22	0.202417
0.222	0.204345
0.224	0.206341
0.226	0.208406
0.228	0.210539
0.23	0.21274
0.232	0.215007
0.234	0.217339
0.236	0.219734
0.238	0.222192
0.24	0.224708
0.242	0.227282
0.244	0.22991
0.246	0.232589
0.248	0.235316
0.25	0.238087
0.252	0.2409
0.254	0.243749
0.256	0.24663
0.258	0.249541
0.26	0.252475
0.262	0.255429
0.264	0.258397
0.266	0.261375
0.268	0.264359
0.27	0.267343
0.272	0.270322
0.274	0.273292
0.276	0.276247
0.278	0.279184
0.28	0.282096
0.282	0.28498
0.284	0.287831
0.286	0.290645
0.288	0.293417
0.29	0.296143
0.292	0.298821
0.294	0.301446
0.296	0.304014
0.298	0.306524
0.3	0.308973
0.302	0.311357
0.304	0.313675
0.306	0.315925
0.308	0.318105
0.31	0.320215
0.312	0.322254
0.314	0.324221
0.316	0.326116
0.318	0.327939
0.32	0.329691
0.322	0.331373
0.324	0.332985
0.326	0.33453
0.328	0.336009
0.33	0.337424
0.332	0.338778
0.334	0.340074
0.336	0.341313
0.338	0.342499
0.34	0.343637
0.342	0.344728
0.344	0.345777
0.346	0.346788
0.348	0.347764
0.35	0.348711
0.352	0.349632
0.354	0.350531
0.356	0.351414
0.358	0.352284
0.36	0.353146
0.362	0.354005
0.364	0.354865
0.366	0.355731
0.368	0.356607
0.37	0.357497
0.372	0.358407
0.374	0.35934
0.376	0.3603
0.378	0.361291
0.38	0.362317
0.382	0.363382
0.384	0.36449
0.386	0.365643
0.388	0.366845
0.39	0.368098
0.392	0.369406
0.394	0.370771
0.396	0.372194
0.398	0.373678
0.4	0.375224
0.402	0.376833
0.404	0.378508
0.406	0.380247
0.408	0.382053
0.41	0.383924
0.412	0.385861
0.414	0.387863
0.416	0.389929
0.418	0.392059
0.42	0.394251
0.422	0.396502
0.424	0.398812
0.426	0.401178
0.428	0.403597
0.43	0.406066
0.432	0.408583
0.434	0.411144
0.436	0.413745
0.438	0.416383
0.44	0.419054
0.442	0.421754
0.444	0.424479
0.446	0.427223
0.448	0.429983
0.45	0.432755
0.452	0.435532
0.454	0.438312
0.456	0.441089
0.458	0.443858
0.46	0.446615
0.462	0.449355
0.464	0.452074
0.466	0.454767
0.468	0.457431
0.47	0.46006
0.472	0.462651
0.474	0.465201
0.476	0.467705
0.478	0.47016
0.48	0.472564
0.482	0.474913
0.484	0.477204
0.486	0.479436
0.488	0.481607
0.49	0.483714
0.492	0.485756
0.494	0.487732
0.496	0.489642
0.498	0.491485
0.5	0.49326
0.502	0.494968
0.504	0.496609
0.506	0.498184
0.508	0.499693
0.51	0.50114
0.512	0.502524
0.514	0.503848
0.516	0.505113
0.518	0.506323
0.52	0.507481
0.522	0.508587
0.524	0.509647
0.526	0.510663
0.528	0.511638
0.53	0.512577
0.532	0.513482
0.534	0.514358
0.536	0.515209
0.538	0.516039
0.54	0.516851
0.542	0.517651
0.544	0.518442
0.546	0.519229
0.548	0.520015
0.55	0.520806
0.552	0.521605
0.554	0.522416
0.556	0.523244
0.558	0.524092
0.56	0.524965
0.562	0.525865
0.564	0.526798
0.566	0.527765
0.568	0.528771
0.57	0.529818
0.572	0.530909
0.574	0.532048
0.576	0.533236
0.578	0.534475
0.58	0.535768
0.582	0.537116
0.584	0.538521
0.586	0.539984
0.588	0.541506
0.59	0.543087
0.592	0.544727
0.594	0.546427
0.596	0.548187
0.598	0.550005
0.6	0.551881
0.602	0.553814
0.604	0.555803
0.606	0.557845
0.608	0.559939
0.61	0.562082
0.612	0.564272
0.614	0.566507
0.616	0.568783
0.618	0.571098
0.62	0.573448
0.622	0.575829
0.624	0.578238
0.626	0.580671
0.628	0.583125
0.63	0.585594
0.632	0.588076
0.634	0.590566
0.636	0.593059
0.638	0.595552
0.64	0.598041
0.642	0.60052
0.644	0.602987
0.646	0.605437
0.648	0.607866
0.65	0.61027
0.652	0.612646
0.654	0.614989
0.656	0.617297
0.658	0.619566
0.66	0.621793
0.662	0.623975
0.664	0.62611
0.666	0.628194
0.668	0.630227
0.67	0.632205
0.672	0.634127
0.674	0.635993
0.676	0.637799
0.678	0.639547
0.68	0.641234
0.682	0.642861
0.684	0.644428
0.686	0.645934
0.688	0.64738
0.69	0.648766
0.692	0.650095
0.694	0.651366
0.696	0.652582
0.698	0.653743
0.7	0.654853
0.702	0.655912
0.704	0.656923
0.706	0.657889
0.708	0.658812
0.71	0.659696
0.712	0.660543
0.714	0.661356
0.716	0.662138
0.718	0.662893
0.72	0.663625
0.722	0.664337
0.724	0.665032
0.726	0.665714
0.728	0.666387
0.73	0.667054
0.732	0.66772
0.734	0.668388
0.736	0.669061
0.738	0.669743
0.74	0.670439
0.742	0.67115
0.744	0.671881
0.746	0.672635
0.748	0.673414
0.75	0.674223
0.752	0.675064
0.754	0.675939
0.756	0.676852
0.758	0.677804
0.76	0.678797
0.762	0.679834
0.764	0.680917
0.766	0.682046
0.768	0.683223
0.77	0.68445
0.772	0.685726
0.774	0.687053
0.776	0.688431
0.778	0.689859
0.78	0.691339
0.782	0.692868
0.784	0.694447
0.786	0.696075
0.788	0.69775
0.79	0.699472
0.792	0.701238
0.794	0.703046
0.796	0.704895
0.798	0.706783
0.8	0.708706
0.802	0.710664
0.804	0.712651
0.806	0.714667
0.808	0.716707
0.81	0.718769
0.812	0.720849
0.814	0.722945
0.816	0.725052
0.818	0.727167
0.82	0.729288
0.822	0.73141
0.824	0.733529
0.826	0.735643
0.828	0.737748
0.83	0.739841
0.832	0.741918
0.834	0.743976
0.836	0.746013
0.838	0.748024
0.84	0.750007
0.842	0.751959
0.844	0.753879
0.846	0.755762
0.848	0.757607
0.85	0.759412
0.852	0.761175
0.854	0.762894
0.856	0.764567
0.858	0.766194
0.86	0.767772
0.862	0.769301
0.864	0.770781
0.866	0.77221
0.868	0.773588
0.87	0.774916
0.872	0.776193
0.874	0.777419
0.876	0.778595
0.878	0.779722
0.88	0.780801
0.882	0.781832
0.884	0.782817
0.886	0.783757
0.888	0.784654
0.89	0.78551
0.892	0.786326
0.894	0.787105
0.896	0.787848
0.898	0.788558
0.9	0.789238
0.902	0.78989
0.904	0.790517
0.906	0.791121
0.908	0.791705
0.91	0.792272
0.912	0.792826
0.914	0.793368
0.916	0.793903
0.918	0.794432
0.92	0.79496
0.922	0.795488
0.924	0.796021
0.926	0.796561
0.928	0.797111
0.93	0.797673
0.932	0.798251
0.934	0.798848
0.936	0.799466
0.938	0.800107
0.94	0.800773
0.942	0.801468
0.944	0.802194
0.946	0.802951
0.948	0.803742
0.95	0.804569
0.952	0.805434
0.954	0.806336
0.956	0.807278
0.958	0.808261
0.96	0.809284
0.962	0.810349
0.964	0.811456
0.966	0.812604
0.968	0.813795
0.97	0.815026
0.972	0.816299
0.974	0.817611
0.976	0.818962
0.978	0.820351
0.98	0.821776
0.982	0.823237
0.984	0.82473
0.986	0.826254
0.988	0.827808
0.99	0.829388
0.992	0.830993
0.994	0.83262
0.996	0.834267
0.998	0.83593
1	0.837607
1.002	0.839296
1.004	0.840992
1.006	0.842694
1.008	0.844399
1.01	0.846103
1.012	0.847804
1.014	0.849498
1.016	0.851183
1.018	0.852856
1.02	0.854514
1.022	0.856155
1.024	0.857775
1.026	0.859373
1.028	0.860946
1.03	0.862492
1.032	0.864008
1.034	0.865492
1.036	0.866943
1.038	0.868359
1.04	0.869738
1.042	0.871079
1.044	0.872381
1.046	0.873643
1.048	0.874863
1.05	0.876041
1.052	0.877177
1.054	0.878269
1.056	0.879319
1.058	0.880325
1.06	0.881288
1.062	0.882208
1.064	0.883086
1.066	0.883923
1.068	0.884718
1.07	0.885473
1.072	0.886189
1.074	0.886868
1.076	0.88751
1.078	0.888117
1.08	0.888691
1.082	0.889233
1.084	0.889745
1.086	0.89023
1.088	0.890688
1.09	0.891123
1.092	0.891535
1.094	0.891929
1.096	0.892305
1.098	0.892666
1.1	0.893015
1.102	0.893354
1.104	0.893685
1.106	0.894011
1.108	0.894334
