 x  	 F(x)  
0	0.00152067
0.002	0.00348026
0.004	0.00543985
0.006	0.00739945
0.008	0.00935904
0.01	0.0113186
0.012	0.0132782
0.014	0.0152379
0.016	0.0171975
0.018	0.0191571
0.02	0.0211167
0.022	0.0230763
0.024	0.0250359
0.026	0.0269956
0.028	0.0289552
0.03	0.0309148
0.032	0.0328745
0.034	0.0348341
0.036	0.0367938
0.038	0.0387534
0.04	0.0407131
0.042	0.0426727
0.044	0.0446324
0.046	0.046592
0.048	0.0485517
0.05	0.0505114
0.052	0.052471
0.054	0.0544307
0.056	0.0563904
0.058	0.0583501
0.06	0.0603098
0.062	0.0622695
0.064	0.0642292
0.066	0.0661888
0.068	0.0681485
0.07	0.0701083
0.072	0.072068
0.074	0.0740277
0.076	0.0759874
0.078	0.0779471
0.08	0.0799068
0.082	0.0818665
0.084	0.0838263
0.086	0.085786
0.088	0.0877457
0.09	0.0897055
0.092	0.0916652
0.094	0.0936249
0.096	0.0955847
0.098	0.0975444
0.1	0.0995042
0.102	0.101464
0.104	0.103424
0.106	0.105383
0.108	0.107343
0.11	0.109303
0.112	0.111263
0.114	0.113223
0.116	0.115182
0.118	0.117142
0.12	0.119102
0.122	0.121062
0.124	0.123022
0.126	0.124981
0.128	0.126941
0.13	0.128901
0.132	0.130861
0.134	0.132821
0.136	0.13478
0.138	0.13674
0.14	0.1387
0.142	0.14066
0.144	0.14262
0.146	0.144579
0.148	0.146539
0.15	0.148499
0.152	0.150459
0.154	0.152419
0.156	0.154379
0.158	0.156339
0.16	0.158298
0.162	0.160258
0.164	0.162218
0.166	0.164178
0.168	0.166138
0.17	0.168098
0.172	0.170058
0.174	0.172017
0.176	0.173977
0.178	0.175937
0.18	0.177897
0.182	0.179438
0.184	0.181214
0.186	0.183184
0.188	0.185153
0.19	0.187122
0.192	0.189091
0.194	0.19106
0.196	0.193029
0.198	0.194998
0.2	0.196967
0.202	0.198937
0.204	0.200906
0.206	0.202875
0.208	0.204844
0.21	0.206813
0.212	0.208782
0.214	0.210751
0.216	0.212721
0.218	0.21469
0.22	0.216659
0.222	0.218628
0.224	0.220597
0.226	0.222566
0.228	0.224536
0.23	0.226505
0.232	0.228474
0.234	0.230443
0.236	0.232412
0.238	0.234382
0.24	0.236351
0.242	0.23832
0.244	0.240289
0.246	0.242258
0.248	0.244228
0.25	0.246197
0.252	0.248166
0.254	0.250135
0.256	0.252104
0.258	0.254074
0.26	0.256043
0.262	0.258012
0.264	0.259981
0.266	0.261951
0.268	0.26392
0.27	0.265889
0.272	0.267858
0.274	0.269827
0.276	0.271797
0.278	0.273766
0.28	0.275735
0.282	0.277704
0.284	0.279674
0.286	0.281643
0.288	0.283612
0.29	0.285582
0.292	0.287551
0.294	0.28952
0.296	0.291489
0.298	0.293459
0.3	0.295428
0.302	0.297397
0.304	0.299366
0.306	0.301336
0.308	0.303305
0.31	0.305274
0.312	0.307244
0.314	0.309213
0.316	0.311182
0.318	0.313152
0.32	0.315121
0.322	0.31709
0.324	0.31906
0.326	0.321029
0.328	0.322998
0.33	0.324967
0.332	0.326937
0.334	0.328906
